name,timestamp,value,beta_kubernetes_io_arch,beta_kubernetes_io_instance_type,beta_kubernetes_io_os,container,cpu,eks_amazonaws_com_capacityType,eks_amazonaws_com_nodegroup,eks_amazonaws_com_nodegroup_image,eks_amazonaws_com_sourceLaunchTemplateId,eks_amazonaws_com_sourceLaunchTemplateVersion,failure_domain_beta_kubernetes_io_region,failure_domain_beta_kubernetes_io_zone,id,image,instance,job,kubernetes_io_arch,kubernetes_io_hostname,kubernetes_io_os,name,namespace,node_kubernetes_io_instance_type,pod,topology_kubernetes_io_region,topology_kubernetes_io_zone
,1641897010.464,0,amd64,t3a.small,linux,POD,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort/pod16a5704b-f3fd-4b6c-bf05-1c94293f65c4/1d2d030597d49f4c8e9a2c4c3c89a4e578c128cccd85ba232ee670fad838ce2a,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/pause:3.1-eksbuild.1,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_POD_bar-app_default_16a5704b-f3fd-4b6c-bf05-1c94293f65c4_0,default,t3a.small,bar-app,ap-southeast-1,ap-southeast-1c
,1641897010.464,0,amd64,t3a.small,linux,POD,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort/pod6f1c7de3-d5cf-44ef-b278-dc36661effc4/57835786e1b56d49107b7addd583afb07ffe9a381d44dcf04372ee1c183c1d2c,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/pause:3.1-eksbuild.1,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_POD_nginx-ingress-9c66f6c8-2wtp6_nginx-ingress_6f1c7de3-d5cf-44ef-b278-dc36661effc4_2,nginx-ingress,t3a.small,nginx-ingress-9c66f6c8-2wtp6,ap-southeast-1,ap-southeast-1c
,1641897010.464,0,amd64,t3a.small,linux,POD,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort/podb84c5fab-4d2f-4c60-9894-32bc41aebca6/730f80081e52cb88dcb80374dff7daea1aede207ebb6d45cb4d92cbe7acae22d,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/pause:3.1-eksbuild.1,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_POD_foo-app_default_b84c5fab-4d2f-4c60-9894-32bc41aebca6_0,default,t3a.small,foo-app,ap-southeast-1,ap-southeast-1c
,1641897010.464,0,amd64,t3a.small,linux,POD,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod0d4d3197-9fd5-4a74-b228-2af587b95e35/ba5dd4eb64d2b150d6bcbc34cdcb4c6a5b3f2e8c2acd80748ffaab00f0a992c4,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/pause:3.1-eksbuild.1,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_POD_coredns-d6bb67487-jm7ks_kube-system_0d4d3197-9fd5-4a74-b228-2af587b95e35_0,kube-system,t3a.small,coredns-d6bb67487-jm7ks,ap-southeast-1,ap-southeast-1c
,1641897010.464,0,amd64,t3a.small,linux,POD,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod1b454e10-465b-41c9-ae40-60670383d708/b8d396ebe705e5e7617ee6417199723af5f1154b26d0a770727dad2de7e0b989,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/pause:3.1-eksbuild.1,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_POD_prometheus-deployment-87cc8fb88-8h9f5_monitoring_1b454e10-465b-41c9-ae40-60670383d708_25,monitoring,t3a.small,prometheus-deployment-87cc8fb88-8h9f5,ap-southeast-1,ap-southeast-1c
,1641897010.464,0,amd64,t3a.small,linux,POD,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod5c904c97-5226-43bc-abd3-46828b4f9d50/4319dae79b5deff614b2ddf2b823bde4ae9be40e4aaa45f496059f0c89b33f57,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/pause:3.1-eksbuild.1,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_POD_aws-node-vwfwx_kube-system_5c904c97-5226-43bc-abd3-46828b4f9d50_0,kube-system,t3a.small,aws-node-vwfwx,ap-southeast-1,ap-southeast-1c
,1641897010.464,0,amd64,t3a.small,linux,POD,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod5f5cc073-b26d-465d-8910-eedfab05b80b/0852826b91e2694d2ccd5b6ad0f33817e4e258edab3ae59c74c1226893e9b977,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/pause:3.1-eksbuild.1,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_POD_kube-proxy-tfzft_kube-system_5f5cc073-b26d-465d-8910-eedfab05b80b_0,kube-system,t3a.small,kube-proxy-tfzft,ap-southeast-1,ap-southeast-1c
,1641897010.464,0,amd64,t3a.small,linux,POD,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/podb19f8b43-b8a1-4b56-9679-f4302e841e41/87c076b90b77349e91cac7eba4db4ee246ce6f8432ea4db7844c94bf1b6f6f2d,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/pause:3.1-eksbuild.1,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_POD_coredns-d6bb67487-9k2cf_kube-system_b19f8b43-b8a1-4b56-9679-f4302e841e41_0,kube-system,t3a.small,coredns-d6bb67487-9k2cf,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.0041678334871174325,amd64,t3a.small,linux,aws-node,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod5c904c97-5226-43bc-abd3-46828b4f9d50/9099ef1de45a52e03d95a47d87dbd081cb41410a71233132ad67ad9bd5421126,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/amazon-k8s-cni@sha256:f310c918ee2b4ebced76d2d64a2ec128dde3b364d1b495f0ae73011f489d474d,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_aws-node_aws-node-vwfwx_kube-system_5c904c97-5226-43bc-abd3-46828b4f9d50_0,kube-system,t3a.small,aws-node-vwfwx,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.00000925984877013535,amd64,t3a.small,linux,bar-app,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort/pod16a5704b-f3fd-4b6c-bf05-1c94293f65c4/9dee550636692dc50f0a7ca5f14349b6d5234353d0c163a91741a215e15fa4ad,hashicorp/http-echo@sha256:ba27d460cd1f22a1a4331bdf74f4fccbc025552357e8a3249c40ae216275de96,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_bar-app_bar-app_default_16a5704b-f3fd-4b6c-bf05-1c94293f65c4_0,default,t3a.small,bar-app,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.0028146208965567103,amd64,t3a.small,linux,coredns,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod0d4d3197-9fd5-4a74-b228-2af587b95e35/0ebb4bee287ecd1dd0450f2d72026cd27d4d3110ad179e1ad8153e4c001a033f,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/coredns@sha256:f7a695d2ca5d864c23c8ac0140178ca2119f857c96f67ef87718b9b4286fa398,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_coredns_coredns-d6bb67487-jm7ks_kube-system_0d4d3197-9fd5-4a74-b228-2af587b95e35_0,kube-system,t3a.small,coredns-d6bb67487-jm7ks,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.002797433500348597,amd64,t3a.small,linux,coredns,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/podb19f8b43-b8a1-4b56-9679-f4302e841e41/34fb70f1f7500261c576df301a35199adae116049dd9b96d7ad5bb74efc14d64,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/coredns@sha256:f7a695d2ca5d864c23c8ac0140178ca2119f857c96f67ef87718b9b4286fa398,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_coredns_coredns-d6bb67487-9k2cf_kube-system_b19f8b43-b8a1-4b56-9679-f4302e841e41_0,kube-system,t3a.small,coredns-d6bb67487-9k2cf,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.00001008483522243035,amd64,t3a.small,linux,foo-app,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort/podb84c5fab-4d2f-4c60-9894-32bc41aebca6/acdcd83d5fd15f5e64cf787b30faf8e70e862fe3d68008da23b6fcfb8aba20fa,hashicorp/http-echo@sha256:ba27d460cd1f22a1a4331bdf74f4fccbc025552357e8a3249c40ae216275de96,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_foo-app_foo-app_default_b84c5fab-4d2f-4c60-9894-32bc41aebca6_0,default,t3a.small,foo-app,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.00018094755291885235,amd64,t3a.small,linux,kube-proxy,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod5f5cc073-b26d-465d-8910-eedfab05b80b/0e58225e49d6ea98bbf761ec687d2ceb1c9194179d4de12cbe97489cb9494410,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/kube-proxy@sha256:4181a2abfad8ce4311fa88b7cd12cd03fb483a6aa7a1a4e508865fa84d171c0c,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_kube-proxy_kube-proxy-tfzft_kube-system_5f5cc073-b26d-465d-8910-eedfab05b80b_0,kube-system,t3a.small,kube-proxy-tfzft,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.0015002299552532745,amd64,t3a.small,linux,nginx-ingress,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort/pod6f1c7de3-d5cf-44ef-b278-dc36661effc4/2d3324a06afd87fd3f5d97a42b6922126a09b1877018e47f2e19236f2d53f39f,sha256:9b528e6246f49eff0ee3986bc3d92045ad4c7c7265789f527372d46dc1c5839c,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_nginx-ingress_nginx-ingress-9c66f6c8-2wtp6_nginx-ingress_6f1c7de3-d5cf-44ef-b278-dc36661effc4_0,nginx-ingress,t3a.small,nginx-ingress-9c66f6c8-2wtp6,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.029310325666267602,amd64,t3a.small,linux,prometheus,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod1b454e10-465b-41c9-ae40-60670383d708/6d7d88510fba455216c6b712d022ed9d018b6b2d0a7fcadbba7fb79ec238fdd4,prom/prometheus@sha256:cb9817249c346d6cfadebe383ed3b3cd4c540f623db40c4ca00da2ada45259bb,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_prometheus_prometheus-deployment-87cc8fb88-8h9f5_monitoring_1b454e10-465b-41c9-ae40-60670383d708_0,monitoring,t3a.small,prometheus-deployment-87cc8fb88-8h9f5,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.12285596835860992,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,,t3a.small,,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.040437791055504525,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,,t3a.small,,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.00151995167325039,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,,t3a.small,,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.000009214261556629593,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort/pod16a5704b-f3fd-4b6c-bf05-1c94293f65c4,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,default,t3a.small,bar-app,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.001500673884672117,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort/pod6f1c7de3-d5cf-44ef-b278-dc36661effc4,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,nginx-ingress,t3a.small,nginx-ingress-9c66f6c8-2wtp6,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.000009589757389176833,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort/podb84c5fab-4d2f-4c60-9894-32bc41aebca6,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,default,t3a.small,foo-app,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.03912544978548963,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,,t3a.small,,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.002815575640599006,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod0d4d3197-9fd5-4a74-b228-2af587b95e35,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,kube-system,t3a.small,coredns-d6bb67487-jm7ks,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.0289987484832641,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod1b454e10-465b-41c9-ae40-60670383d708,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,monitoring,t3a.small,prometheus-deployment-87cc8fb88-8h9f5,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.004164779742705881,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod5c904c97-5226-43bc-abd3-46828b4f9d50,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,kube-system,t3a.small,aws-node-vwfwx,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.00018169554247595814,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod5f5cc073-b26d-465d-8910-eedfab05b80b,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,kube-system,t3a.small,kube-proxy-tfzft,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.0027972393365591933,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/podb19f8b43-b8a1-4b56-9679-f4302e841e41,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,kube-system,t3a.small,coredns-d6bb67487-9k2cf,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.02464512353827642,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/system.slice/docker.service,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,,t3a.small,,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.044054789282076616,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/system.slice/kubelet.service,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,,t3a.small,,ap-southeast-1,ap-southeast-1c
